sample_idx,true_l3,true_w4,rank,l3,w4,curve_mae_dB,freq_err_MHz,depth_err_dB
16,11.0,0.5,1,10.589725494384766,0.558057427406311,1.1587398052215576,897.4360000000008,0.5078659057617188
16,11.0,0.5,2,11.996320724487305,0.6100021600723267,1.6203835010528564,717.949,3.840057373046875
16,11.0,0.5,3,11.247475624084473,0.8160141706466675,1.9226707220077515,717.949,2.557891845703125
16,11.0,0.5,4,9.596405029296875,0.6427130103111267,2.217573881149292,897.4360000000008,2.581348419189453
16,11.0,0.5,5,9.956753730773926,0.8258596658706665,2.5989067554473877,897.4360000000008,1.3455123901367188
16,11.0,0.5,6,13.373682022094727,0.6801756024360657,2.940401077270508,1076.9229999999998,1.8015403747558594
16,11.0,0.5,7,13.198051452636719,1.152995228767395,3.2662711143493652,717.949,2.3867111206054688
16,11.0,0.5,8,13.986385345458984,0.8971573114395142,3.287039279937744,1076.9229999999998,3.4258975982666016
16,11.0,0.5,9,13.808919906616211,1.3007935285568237,3.3687119483947754,358.97399999999993,3.224609375
16,11.0,0.5,10,12.6485595703125,1.2977731227874756,3.532611846923828,717.949,0.021465301513671875
17,11.0,1.0,1,11.93089485168457,0.885181725025177,1.1311419010162354,0.0,0.017253875732421875
17,11.0,1.0,2,11.247475624084473,0.8160141706466675,1.1865675449371338,0.0,2.4584732055664062
17,11.0,1.0,3,9.926952362060547,0.9813233017921448,1.290279746055603,897.4359999999999,0.6003799438476562
17,11.0,1.0,4,11.487858772277832,1.402795672416687,1.292068600654602,0.0,3.601837158203125
17,11.0,1.0,5,12.6485595703125,1.2977731227874756,1.3079965114593506,0.0,0.07795333862304688
17,11.0,1.0,6,10.364192962646484,1.2773773670196533,1.3715347051620483,0.0,2.526142120361328
17,11.0,1.0,7,13.198051452636719,1.152995228767395,1.5200386047363281,0.0,2.28729248046875
17,11.0,1.0,8,11.070240020751953,1.4969416856765747,1.5741112232208252,0.0,4.274110794067383
17,11.0,1.0,9,12.96141529083252,1.3812379837036133,1.5879894495010376,0.0,2.3865909576416016
17,11.0,1.0,10,10.12739372253418,1.6227302551269531,1.6979789733886719,0.0,4.474971771240234
18,11.0,1.5,1,11.487858772277832,1.402795672416687,1.030931830406189,0.0,6.208789825439453
18,11.0,1.5,2,11.070240020751953,1.4969416856765747,1.0315145254135132,0.0,5.536516189575195
18,11.0,1.5,3,10.478836059570312,1.4752626419067383,1.0612119436264038,0.0,5.2821807861328125
18,11.0,1.5,4,10.12739372253418,1.6227302551269531,1.093993902206421,0.0,5.335655212402344
18,11.0,1.5,5,9.361818313598633,1.3317314386367798,1.5167524814605713,897.4359999999999,7.001930236816406
18,11.0,1.5,6,12.109417915344238,1.787240982055664,1.5920097827911377,0.0,12.231575012207031
18,11.0,1.5,7,12.6485595703125,1.2977731227874756,1.6240320205688477,0.0,9.732673645019531
18,11.0,1.5,8,12.96141529083252,1.3812379837036133,1.7682726383209229,0.0,12.19721794128418
18,11.0,1.5,9,9.592357635498047,1.8535736799240112,1.8059476613998413,0.0,9.444297790527344
18,11.0,1.5,10,12.95036506652832,1.722233533859253,1.8795229196548462,1974.3589999999997,15.295516967773438
19,11.0,2.0,1,9.592357635498047,1.8535736799240112,0.8690286874771118,0.0,0.2854442596435547
19,11.0,2.0,2,12.109417915344238,1.787240982055664,0.9664700627326965,0.0,2.501832962036133
19,11.0,2.0,3,11.337157249450684,1.6130121946334839,1.2717952728271484,0.0,3.164752960205078
19,11.0,2.0,4,10.12739372253418,1.6227302551269531,1.2826225757598877,0.0,4.394086837768555
19,11.0,2.0,5,12.95036506652832,1.722233533859253,1.3946993350982666,1974.3589999999997,5.565774917602539
19,11.0,2.0,6,13.160544395446777,2.2593765258789062,1.4894201755523682,3230.7690000000002,0.647552490234375
19,11.0,2.0,7,11.436910629272461,2.315767288208008,1.513758897781372,3230.7690000000002,1.4836788177490234
19,11.0,2.0,8,9.16467571258545,1.5141301155090332,1.5903947353363037,0.0,1.5010242462158203
19,11.0,2.0,9,11.854026794433594,2.375211477279663,1.6141777038574219,3230.7690000000002,1.5455684661865234
19,11.0,2.0,10,13.789267539978027,2.2799973487854004,1.664261817932129,3230.7690000000002,0.06297492980957031
20,11.0,2.5,1,11.170792579650879,2.7130703926086426,0.7450868487358093,0.0,3.913942337036133
20,11.0,2.5,2,11.493688583374023,2.6334750652313232,0.782995343208313,0.0,4.200265884399414
20,11.0,2.5,3,10.454599380493164,2.7169132232666016,0.8231027722358704,0.0,2.5067996978759766
20,11.0,2.5,4,9.371603012084961,2.2876155376434326,0.9084140062332153,0.0,2.504934310913086
20,11.0,2.5,5,11.854026794433594,2.375211477279663,0.9706471562385559,5025.6410000000005,3.328126907348633
20,11.0,2.5,6,11.436910629272461,2.315767288208008,1.0024492740631104,5025.6410000000005,3.266237258911133
20,11.0,2.5,7,9.044177055358887,2.292325735092163,1.1661487817764282,0.0,1.8351573944091797
20,11.0,2.5,8,13.160544395446777,2.2593765258789062,1.386636734008789,5025.6410000000005,2.4301109313964844
20,11.0,2.5,9,9.464669227600098,1.9363402128219604,1.5327255725860596,1794.8719999999998,3.5743236541748047
20,11.0,2.5,10,9.707940101623535,2.8524744510650635,1.6417690515518188,0.0,3.403207778930664
21,11.0,3.0,1,11.602643013000488,3.048757314682007,0.7001209855079651,5025.6410000000005,1.118021011352539
21,11.0,3.0,2,10.567862510681152,3.1656687259674072,0.7019575834274292,0.0,0.3752326965332031
21,11.0,3.0,3,9.863131523132324,3.2295644283294678,1.0054930448532104,4128.204999999999,1.3298377990722656
21,11.0,3.0,4,11.170792579650879,2.7130703926086426,1.1642627716064453,0.0,4.671398162841797
21,11.0,3.0,5,11.433938026428223,3.312852382659912,1.1740001440048218,0.0,4.194330215454102
21,11.0,3.0,6,11.493688583374023,2.6334750652313232,1.3145771026611328,0.0,4.385074615478516
21,11.0,3.0,7,9.707940101623535,2.8524744510650635,1.3538439273834229,0.0,5.182132720947266
21,11.0,3.0,8,10.454599380493164,2.7169132232666016,1.3690770864486694,0.0,6.078540802001953
21,11.0,3.0,9,13.181862831115723,3.0408449172973633,1.517022967338562,5025.6410000000005,3.028553009033203
21,11.0,3.0,10,10.467236518859863,3.550112009048462,1.541197657585144,4128.204999999999,1.0181446075439453
22,11.0,3.5,1,10.467236518859863,3.550112009048462,0.48970016837120056,0.0,1.896651268005371
22,11.0,3.5,2,10.115950584411621,3.636319637298584,0.62376868724823,0.0,3.5220766067504883
22,11.0,3.5,3,11.433938026428223,3.312852382659912,0.6512775421142578,4128.204999999999,1.2795343399047852
22,11.0,3.5,4,10.698713302612305,3.3284213542938232,0.7154728770256042,0.0,0.5862398147583008
22,11.0,3.5,5,11.647184371948242,3.7364275455474854,0.7260130047798157,0.0,2.3329973220825195
22,11.0,3.5,6,12.420328140258789,3.639885902404785,0.8773924112319946,897.4360000000004,3.262911796569824
22,11.0,3.5,7,13.113875389099121,3.512557029724121,1.0018179416656494,897.4360000000004,1.2178468704223633
22,11.0,3.5,8,9.508466720581055,3.570687770843506,1.0953916311264038,0.0,6.727414131164551
22,11.0,3.5,9,13.181862831115723,3.0408449172973633,1.123963713645935,897.4360000000004,5.9433488845825195
22,11.0,3.5,10,11.602643013000488,3.048757314682007,1.2680150270462036,897.4360000000004,1.7967748641967773
23,11.0,4.0,1,9.976305961608887,3.868565559387207,0.47895774245262146,0.0,4.5131988525390625
23,11.0,4.0,2,11.647184371948242,3.7364275455474854,0.5092790722846985,0.0,1.7683181762695312
23,11.0,4.0,3,10.248148918151855,3.676482677459717,0.6282258033752441,0.0,3.439556121826172
23,11.0,4.0,4,12.420328140258789,3.639885902404785,0.7236223816871643,897.4360000000004,2.698232650756836
23,11.0,4.0,5,13.113875389099121,3.512557029724121,0.9385035634040833,897.4360000000004,0.653167724609375
23,11.0,4.0,6,13.78320026397705,3.9497766494750977,1.055768370628357,1435.8970000000002,2.7864036560058594
23,11.0,4.0,7,11.433938026428223,3.312852382659912,1.1840076446533203,4128.204999999999,0.7148551940917969
23,11.0,4.0,8,9.508466720581055,3.570687770843506,1.1892690658569336,0.0,7.292093276977539
23,11.0,4.0,9,10.597390174865723,3.363051652908325,1.2407779693603516,0.0,1.6646404266357422
23,11.0,4.0,10,13.89482307434082,3.326040506362915,1.2925746440887451,897.4360000000004,5.294191360473633
24,12.0,0.5,1,11.996320724487305,0.6100021600723267,0.8374943733215332,1076.9229999999998,2.627798080444336
24,12.0,0.5,2,11.247475624084473,0.8160141706466675,1.5225152969360352,1076.9229999999998,3.909963607788086
24,12.0,0.5,3,10.589725494384766,0.558057427406311,1.7278972864151,538.4620000000009,5.959989547729492
24,12.0,0.5,4,13.373682022094727,0.6801756024360657,1.7796523571014404,1435.8969999999997,4.666315078735352
24,12.0,0.5,5,13.986385345458984,0.8971573114395142,2.1563162803649902,1435.8969999999997,3.0419578552246094
24,12.0,0.5,6,13.198051452636719,1.152995228767395,2.1934704780578613,1076.9229999999998,4.081144332885742
24,12.0,0.5,7,13.808919906616211,1.3007935285568237,2.377142906188965,0.0,3.243246078491211
24,12.0,0.5,8,12.6485595703125,1.2977731227874756,2.4450459480285645,1076.9229999999998,6.446390151977539
24,12.0,0.5,9,12.96141529083252,1.3812379837036133,2.540632724761963,1076.9229999999998,3.9818458557128906
24,12.0,0.5,10,13.739316940307617,0.5243324637413025,2.5579638481140137,1435.8969999999997,9.271581649780273
25,12.0,1.0,1,11.93089485168457,0.885181725025177,0.669116199016571,0.0,3.7963008880615234
25,12.0,1.0,2,11.247475624084473,0.8160141706466675,1.0571348667144775,0.0,6.272027969360352
25,12.0,1.0,3,12.6485595703125,1.2977731227874756,1.1966521739959717,0.0,3.7356014251708984
25,12.0,1.0,4,13.198051452636719,1.152995228767395,1.2306684255599976,0.0,6.100847244262695
25,12.0,1.0,5,11.487858772277832,1.402795672416687,1.4341468811035156,0.0,0.2117176055908203
25,12.0,1.0,6,12.96141529083252,1.3812379837036133,1.4556982517242432,0.0,6.200145721435547
25,12.0,1.0,7,11.070240020751953,1.4969416856765747,1.7808220386505127,0.0,0.4605560302734375
25,12.0,1.0,8,13.808919906616211,1.3007935285568237,1.8054618835449219,1076.9229999999998,6.938745498657227
25,12.0,1.0,9,10.364192962646484,1.2773773670196533,1.8384755849838257,0.0,1.2874126434326172
25,12.0,1.0,10,13.986385345458984,0.8971573114395142,1.9577198028564453,358.97399999999993,7.140033721923828
26,12.0,1.5,1,11.487858772277832,1.402795672416687,0.7908538579940796,0.0,2.5119400024414062
26,12.0,1.5,2,12.6485595703125,1.2977731227874756,0.959516167640686,0.0,1.0119438171386719
26,12.0,1.5,3,11.070240020751953,1.4969416856765747,1.0034615993499756,0.0,3.184213638305664
26,12.0,1.5,4,12.109417915344238,1.787240982055664,1.1373727321624756,0.0,3.510845184326172
26,12.0,1.5,5,10.478836059570312,1.4752626419067383,1.2095433473587036,0.0,3.438549041748047
26,12.0,1.5,6,12.96141529083252,1.3812379837036133,1.213111162185669,0.0,3.4764881134033203
